type,f1random,f1NB,f1SGD,f1LinearSVC
agreement,0.0,0.6666666666666666,0.6666666666666666,1.0
content,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
coordinating,0.0,0.5,0.5,0.5
criticism,0.5454545454545453,0.4545454545454545,0.4545454545454545,0.4545454545454545
disagreement,0.0,1.0,1.0,1.0
doubing,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
praise,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
references,0.25,0.375,0.25,0.3125
statement,0.3125,0.3125,0.4375,0.4375
unknown,0.0,1.0,0.0,0.0
vandalism,0.5,0.5,1.0,0.5
